N,t0_mean,t0_std,t1_mean,t1_std,t2_mean,t2_std,t3_mean,t3_std,t4_mean,t4_std,t5_mean,t5_std
20000,0.7684718036176711,0.12168559229514138,0.7179755252438691,0.348927097868938,0.7043230149819613,0.5988294261560316,0.5650773467290527,0.8478496456432625,0.40771522422804807,1.1091438677457148,0.33289399174376105,1.4069585734353858
60000,0.773090488319119,0.07625927966633651,0.8439874759341386,0.17988985607895178,0.9203180790721402,0.2972791643680724,0.8896161892057248,0.41680178796240186,0.8592421787615849,0.4840859200043638,0.9316690848348802,0.6359142930618501
80000,0.7602407651920979,0.050094801006080755,0.7971404008203007,0.13159189260040882,0.8265595689378813,0.20931758426934985,0.7749875113333342,0.28342207545335485,0.7034536191757452,0.3052102420982243,0.7202215551789134,0.4144726787085816
ideal,0.76993869,0,0.81642856,0,0.81471155,0,0.76629045,0,0.71354544,0,0.70264116,0
